solvent,solute,temperature
CO,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCO,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CC(C)O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CC(=O)C,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CC#N,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CS(=O)C,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
C(F)(F)C(F)F,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
O=C=O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCCCCCCC(=O)O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCCCCCCCCC(=O)O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCCCCCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCCCCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CO,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCO,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CC(C)O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CC(=O)C,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CC#N,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CS(=O)C,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
C(F)(F)C(F)F,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
O=C=O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCCCCCCC(=O)O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCCCCCCCCC(=O)O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)CO)(C)C)O,298.15
CCCCCCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCCCCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CO,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCO,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CC(C)O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CC(=O)C,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CC#N,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CS(=O)C,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
C(F)(F)C(F)F,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
O=C=O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCCCCCCC(=O)O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCCCCCCCCC(=O)O,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(C(O)CCCC)=C3,298.15
CCCCCCC,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCCCCC,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CO,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCO,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CC(C)O,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CC(=O)C,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CC#N,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CS(=O)C,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCC,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCCC,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
C(F)(F)C(F)F,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
O=C=O,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCCCCCCC(=O)O,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCCCCCCCCC(=O)O,CC(C(O)=C1)=CC2=C1C(C)(C)OC3=C2C(O)=CC(CCCCC)=C3,298.15
CCCCCCC,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCCCCC,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CO,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCO,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CC(C)O,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CC(=O)C,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CC#N,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CS(=O)C,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCC,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCCC,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
C(F)(F)C(F)F,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
O=C=O,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCCCCCCC(=O)O,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCCCCCCCCC(=O)O,NS(=O)(=O)c1nnc(s1)NC(=O)C,298.15
CCCCCCC,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCCCCC,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CO,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCO,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CC(C)O,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CC(=O)C,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CC#N,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CS(=O)C,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCC,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCCC,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
C(F)(F)C(F)F,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
O=C=O,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCCCCCCC(=O)O,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCCCCCCCCC(=O)O,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,298.15
CCCCCCC,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CCCCCC,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CO,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CCO,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CC(C)O,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CC(=O)C,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CC#N,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CS(=O)C,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CCC,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CCCC,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
C(F)(F)C(F)F,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
O=C=O,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CCCCCCCC(=O)O,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
CCCCCCCCCC(=O)O,CCCCCC1=CC(O)=C(C/C=C(C)/CC/C=C(C)\C)C(O)=C1,298.15
